,indices,choices,search,bm25,prev_bm25,next_bm25
0,87641,"RIKER: Yes, go ahead. 
 RIKER: Enterprise?... Enterprise?... 
 RIKER: ... Enterprise... 
 
 ""The Royale"", The Next Generation, 1989-01-10",enterprise,8.32000668986447,0.0,7.374085106071976
1,118893,"RIKER: Proceed, Shuttle One. 
 PICARD: Enterprise. Enterprise. Do you read me? Enterprise, come in. 
 DATA: I cannot locate the Enterprise anywhere within one lightyear of the planet. 
 
 ""Devil's Due"", The Next Generation, 1990-11-02",enterprise,7.830813309836274,0.0,4.146091114464119
2,115264,"TAM: I can't. 
 DATA: Data to Enterprise. Come in Enterprise. 
 TAM: No... No, don't. 
 
 ""Tin Man"", The Next Generation, 1990-01-31",enterprise,7.4968231383513615,0.0,0.0
3,102020,"RIKER: I think we'll be safe in here. I'm not sure about our air supply. Stay put and don't move around, don't expend unnecessary energy. With any luck we can wait this out. 
 RIKER: Riker to Enterprise... Riker to Enterprise... 
 DATA: Commander, the refractory metals in the rock strata might also interfere with communication. 
 
 ""Silicon Avatar"", The Next Generation, 1991-07-31",enterprise,7.405238617268715,0.0,0.0
4,97369,"RIKER: Riker to Enterprise. We're going in. 
 RIKER: Riker to Enterprise... Riker to Enterprise... 
 SOREN: Power reserves are down to eighty-four percent. 
 
 ""The Outcast"", The Next Generation, 1992-01-02",enterprise,7.405238617268715,5.707667608461899,0.0
5,134022,"RIKER: Energize. 
 RIKER: Enterprise. 
 PICARD: Number One. 
 
 ""Skin of Evil"", The Next Generation, 1988-02-01",enterprise,7.374085106071976,0.0,0.0
6,130174,"PICARD: Hold on. We'll get you out of here. (he touches his communicator) Enterprise, this is the Captain. Two to beam up. 
 PICARD: Enterprise. 
 PICARD: (continuing; he touches it again) Data... Lieutenant Yar. 
 
 ""The Arsenal Of Freedom"", The Next Generation, 1988-01-25",enterprise,7.374085106071976,3.382592548319905,0.0
7,109348,"RIKER: Maybe we'll find out what the hell they really want. 
 GREBNEDLOG: Enterprise. 
 RIKER: We demand the immediate return of our crewmember. 
 
 ""Samaritan Snare"", The Next Generation, 1989-03-08",enterprise,7.374085106071976,0.0,0.0
8,88874,"RO: I think I can... I followed their entry almost all the way in... we can calculate the coordinates from their angle of descent... 
 RIKER: Enterprise? 
 DATA: It is unlikely, sir, that we will be able to establish communication with the ship, given the severe electromagnetic interference... 
 
 ""Power Play"", The Next Generation, 1991-11-26",enterprise,7.374085106071976,0.0,0.0
9,88860,"DATA: Sir, forward thrusters have failed. We are losing power. 
 RIKER: Enterprise... ? 
 PICARD: Go ahead. 
 
 ""Power Play"", The Next Generation, 1991-11-26",enterprise,7.374085106071976,0.0,0.0
