,indices,choices,search,bm25,prev_bm25,next_bm25
0,110624,"GEORDI: About her. That, you know, gets to the Captain. DATA: Perhaps it is their common interest in archaeology. TROI: I don't think so.",archaeology,10.342717564751869,0.0,0.0
1,110442,VASH: I came in through the window. PICARD: I had no idea you were a member of the Archaeology Council. PICARD: You are a member? Aren't you.,archaeology,9.707233518554336,0.0,0.0
2,109069,"WESLEY: He's coming with me to starbase. Just the two of us. Nearly a six-hour transit. What am I going to talk to him about for six hours? SONYA: Archaeology...semantics... literature... art... you can learn a lot from Captain Picard. GEORDI: Nice day for a little trip, Captain?",archaeology,8.528238805124236,0.0,0.0
3,104205,"VASH: I don't suppose you ever heard of Professor Samuel Estragon? PICARD: As a matter of fact, I have. He spent half his life searching for the Uthat. Archaeology is a hobby of mine. VASH: I served as his personal assistant for the past five years. Shortly before he died, he uncovered new data pinpointing its location. That disc contains his research notes and maps.",archaeology,7.173034358769047,0.0,0.0
4,134787,"WESLEY: (responding to Picard's enthusiasm and echoing it) How did you find out about all this? PICARD: Archaeology has been a hobby since my Academy days. But why don't we talk about what really brought you here? WESLEY: I can't stop thinking about the Yamato. All those people -- dead. I just don't know how you do it. You, Commander Riker, Geordi, you all handle it so easily.",archaeology,7.0529518894870415,0.0,0.0
5,80518,"JASON: Is it valuable... ? PICARD: Not really. Only to students of archaeology like myself. Still, I had to give up a very old bottle of Saurian brandy for it. JASON: I'd say you got taken.",archaeology,6.575911904409159,0.0,0.0
6,112166,"MADRED: Let's not waste time arguing about issues we can't resolve. Would you care to tour the Hebitian burial vaults? MADRED: Even though they've been stripped of funerary regalia, the tomb paintings are extraordinary. Any student of archaeology would be thrilled. PICARD: What I would like... is to be returned to my ship.",archaeology,6.099862716123043,0.0,0.0
7,112153,MADRED: Please... let me remove those restraints. MADRED: I understand that you are a student of archaeology. Did you know that Cardassia boasts some of the most ancient and splendid ruins anywhere in the galaxy? PICARD: I know that the burial vaults of the First Hebitian civilization are said to be magnificent.,archaeology,5.637345249589314,0.0,0.0
8,140078,"GALEN: I am currently on an expedition. A journey into unexplored historical territory. And I intend to take you with me. PICARD : Captain's log, supplemental. It has been over thirty years since I last saw my archaeology professor. His presence has taken me back to a time when I had considered a very different career... GALEN: I read your paper on the Kea Four excavation that you delivered at last year's symposium. It was... informative.",archaeology,4.914054276834069,0.0,0.0
9,6762,"BASHIR: That better not be from a replicator, Quark. QUARK: Chateau Cleon, twenty-three-oh-three. I already put it on your account. JAKE: Can I?",chateau,10.743186726322394,0.0,0.0
10,70529,"SISKO: If you return the Maquis to the Federation, I can promise you they will stand trial for what they've done. GUL DUKAT: A Federation trial... SISKO: It's the best I can do.",trial,10.814105889851891,5.5360193975428045,0.0
11,20552,SISKO: I want you to escort the prisoner back to his home planet. ODO: He's not to stand trial here? SISKO: Croden apparently committed crimes on Rakhar. His government was adamant and the Bajorans have agreed to release him.,trial,9.734882918032675,0.0,0.0
12,50842,JAKE: It's a Klingon bachelor party -- use your imagination. WORF: Now begins the trial of blood... MARTOK: Let rivers flow from our veins...,trial,9.63869099201674,0.0,0.0
13,75611,"Q: I'll answer any ten questions that call for a ""yes"" or a ""no."" Well? PICARD: Are you putting mankind on trial again? Q: No.",trial,8.851521380207078,0.0,0.0
14,42352,SISKO: I've made my decision. SARAH PROPHET: Your trial is at hand. You must be strong. SISKO: Kasidy gives me strength. Why can't you understand that?,trial,8.693744051411652,0.0,0.0
15,107716,WORF: Sir? PICARD: I think... we're putting on a drumhead trial... WORF: I don't understand...,trial,8.616946026079573,0.0,0.0
16,69962,"DUKAT: How barbaric. On Cardassia, the verdict is always known before the trial begins. And it's always the same. SISKO: In that case, why bother with a trial at all? DUKAT: Because the people demand it. They enjoy watching justice triumph over evil. Every time. They find it comforting.",trial,8.467349778719132,5.59957776147998,0.0
17,22363,"ODO: Either that, or his lack of faith in our justice system. WORF: He must be apprehended and brought to trial. SISKO: Have all available runabouts begin a sector-wide search.",trial,8.467349778719132,0.0,0.0
18,109894,"DATA: Commander, I believe I have found a correlation between the two deaths... your ""missing link"" ... DATA : That is Penthor-Mul being led from his trial. RIKER: I don't see the connection...",trial,8.394482714861779,0.0,0.0
19,43453,"SISKO: If you won't defend yourself, you're not going to testify. KIRA: It's a hearing, not a trial. She has no choice. KIRA: (continuing, re: the PADD, to Sisko) Odo's on subspace... It's urgent.",trial,8.394482714861779,0.0,0.0
20,79023,"""Q"" : Dispose of that. PICARD: Can we assume you mean this will be a fair trial? ""Q"" : Yes, absolutely equitable.",trial,8.115138490265046,0.0,0.0
21,43436,"SISKO: He took a raw, young Ensign under his wing and taught me to appreciate life in ways I'd never thought about before... he taught me about art and science and diplomacy... whatever sense of honor I may have today, he nurtured... treason, murder -- he wasn't capable of those things. TANDRO: As you've already said, Commander, this is not a trial... SISKO: I'm describing my friend, Curzon Dax -- a man I knew very well. On the other hand... I can't tell you too much about my new friend there... We're really just getting to know each other.",trial,7.853787060857844,0.0,0.0
22,106906,DATA FRANK: My boy. WORF: That is not possible. Your son is to stand trial for murder. DATA/FRANK: Well then... maybe we can work it out. Is there something you want... in exchange for my boy?,trial,7.491868903359976,0.0,0.0
23,76083,"PICARD: I sincerely hope this is the last time I'll find myself here. Q: You just don't get it, do you, Jean-Luc? The trial never ends. Q: We wanted to see if you had the ability to expand your mind and your horizons... and for one brief moment, you did.",trial,7.491868903359976,0.0,0.0
24,106912,WORF: Where is he? WORF: I do not negotiate with criminals. Your son will stand trial. DATA/FRANK: Not so fast...,trial,7.4347674204409575,0.0,0.0
25,79077,"MANDARIN-BAILIFF: Stand respectfully. All present, respectfully stand! ""Q"" : This trial is adjourned to allow the criminals to be tested. MANDARIN-BAILIFF: This honorable court is adjourned!",trial,7.4347674204409575,0.0,0.0
26,42060,"WINN: I see... SISKO: They warned me that I'm going to have to face a great ""Trial."" WINN: Did they say what it would be?",trial,7.4347674204409575,0.0,0.0
27,52688,MAKBAR: His execution is scheduled for next week. KEIKO: How can you schedule an execution before the trial even begins... ? MAKBAR: We believe in swift justice.,trial,7.268568813666161,0.0,0.0
28,144008,"RIKER: No. It's not true... ATTENDANT: Yes it is. And if you get out of here, you're going to stand trial... RIKER: You're lying!",trial,7.161837175388331,0.0,0.0
29,46567,WEYOUN: When will the prisoners be executed? DAMAR: When their trial is completed. The legal protocols must be observed. WEYOUN: When?,trial,7.058194670274278,0.0,0.0
30,9283,"JAKE JAKE: I wonder if Kirby Not exactly. knew that the whole time we were talking, KIRBY all I could think What does that mean? about was how close the Klingons were. JAKE I write stories mostly, you know, fiction. I write stories mostly,: you know, fiction. JAKE : -- He didn't seem that worried, no one else seems to be losing sleep over it, so why's it the only thing I can think about? I've been on the station when it was under attack plenty of times... but somehow the danger never seemed as real as it does here.",fiction,13.507905548421162,4.4257868432046035,0.0
31,106089,"AQUIEL: Yes, it's from ""Cold Moon Over Blackwater."" Have you read it? GEORDI: No... I'm not much for gothic fiction. AQUIEL: Most people aren't nowadays.",fiction,11.218488301586884,0.0,0.0
32,119992,"PICARD: I hate a mystery. DATA: But, sir what about Dixon Hill, and your penchant for detective fiction -- PICARD: Allow me to correct myself. I hate a mystery I cannot solve.",fiction,8.437754772707295,0.0,0.0
33,83035,"PICARD: Data-- DATA: It is you who are imaginary characters derived from a work of fiction. McNARY: Give it up, fellas. These guys are too smart to fall for that story.",fiction,8.437754772707295,0.0,0.0
34,109476,"RIKER: Geordi's up to speed. I trust his instincts. DATA: The Pakleds did hear our little fiction about Geordi's ""weapons knowledge."" RIKER: Exactly. And since they obviously equate intelligence with strength, they won't pass up this chance to use that knowledge. Can you do it?",fiction,8.262215314747468,0.0,0.0
35,125673,MARLA: It is our duty to make him happy again. PICARD: Do you honestly believe he will be happy in this total fiction you wish to create? PICARD: What will be his reason to live?,fiction,7.776845694078443,0.0,0.0
36,1071,"KAY: I really like this major of yours... she's a tough cookie. KAY: Science fiction needs more strong women characters. I'm always saying that, aren't I, Jules? JULIUS: Ad nauseam, my dear.",fiction,7.437039193659744,0.0,0.0
37,83029,"PICARD: I only look like Dixon Hill. DATA: He speaks the truth, sir. From your point of view, he is only a fiction, a facsimile, a knock-off, a cheap imitation. PICARD: Thank you, Mister Data.",fiction,6.539056564526949,0.0,0.0
38,1062,"BENNY: Surprise. DARLENE: It's the best thing I've read since ""The Puppet Masters."" (a beat, almost apologetic) I read a lot of science fiction. HERBERT: Bless you, my child.",fiction,6.503363550952229,0.0,0.0
39,83032,"DATA: Sorry sir, that did not come out quite the way I interded. REDBLOCK: Very good. Very, very, good. What wonderful fiction! Quite entertaining. I admire your skill at trying to obfuscate our sense of reality. DATA: It is you who are not real, sir.",fiction,5.892274254693028,0.0,0.0
40,1116,"CASSIE: Hey, it's possible. Baby, I know we could make this work for us. We could be happy here. Besides, you don't have to give up writing altogether... maybe you could write something for the Amsterdam News or one of the other Negro newspapers. BENNY: I'm not a reporter. I write fiction -- and the Amsterdam News isn't going to publish stories about a space station four hundred years in the future. WILLIE : Hear the game last night?",fiction,5.536332789976538,0.0,0.0
41,101644,"PICARD: I feel it necessary to warn you that criminal behavior is no more acceptable in the twenty-fourth century than it was in the nineteenth. And much harder to get away with. MORIARTY: Don't worry, Captain... my past is nothing but a fiction -- the scribblings of an Englishman dead now for four centuries. I hope to... leave his books on the shelf, as it were. PICARD: If that's so, you'll find that there are opportunities available to you that you could never have imagined.",fiction,5.065561602422853,0.0,0.0
42,129827,"DATA: Sir? PICARD: Stop babbling. (rewinding the threads of his fast-tattering patience) The law recognizes many things as people that aren't possessed of flesh and blood. It's a little legal fiction, you see. DATA: I am beginning to understand why Shakespeare wrote, let us kill all the lawyers.",fiction,4.650356015549724,0.0,0.0
43,100639,"TOMALAK: You see, Picard, after we dissect your Enterprise for every precious bit of information, I plan to display its broken hull in the center of the Romulan capitol as a symbol of our victory. It will inspire our armies for generations to come and serve as a warning to any other traitor who would create ripples of disloyalty. JAROK: All the communiques, the records, the timetables... they were fiction, written for my benefit... it was all a... a test... a test of my loyalty... and you used me to lure the Enterprise into the Neutral Zone. TOMALAK: First, Captain, you will return the traitor, Jarok... then you will surrender as prisoners of war...",fiction,4.56133787059129,0.0,0.0
