Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,line,character,quote,scene,location,view,episode,date,series,file,sentiment
2000,2000,2000,2000,338,DABO GIRL #1,"""Happy Birthday, Dear Julian... """,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2001,2001,2001,2001,339,,"""Happy Birthday to you.""",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2002,2002,2002,2002,340,GARAK,"""And many more."" Doctor, I really must congratulate you. You have a fascinating mind.",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2003,2003,2003,2003,341,BASHIR,"Look, I'm sorry, but I don't have time for this.",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2004,2004,2004,2004,342,DABO GIRL #1,But it's a party. And it's all for you.,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2005,2005,2005,2005,343,GARAK,You should try to enjoy yourself. It's your birthday.,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2006,2006,2006,2006,344,BASHIR,"Garak, get me over to the engineering station. Now.",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2007,2007,2007,2007,345,GARAK,"Sorry, my dear.",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2008,2008,2008,2008,346,BASHIR,There has to be a way to reactivate the station's central computer network.,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2009,2009,2009,2009,347,GARAK,Any ideas on how to go about doing that?,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2010,2010,2010,2010,348,BASHIR,"My Engineering extension classes at Starfleet Medical focused mainly on starship operations, but I think if I can re-route the primary command processor to bypass the disabled systems, I should be able to get it operational.",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2011,2011,2011,2011,349,GARAK,So which panel accesses the computer?,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2012,2012,2012,2012,350,BASHIR,"If you were really Garak, you could tell me. In fact, you could probably fix this computer without my help.",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2013,2013,2013,2013,351,GARAK,"But I'm not really Garak, am I? I'm just another part of you.",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2014,2014,2014,2014,352,BASHIR,Help me get this panel off.,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2015,2015,2015,2015,353,BASHIR,Tennis balls?,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2016,2016,2016,2016,354,GARAK,This station is in worse shape then we thought.,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2017,2017,2017,2017,355,BASHIR,Garak... (holds out his hand for help) One of these panels has to have the computer controls behind it. I just have to find the right one.,56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
2018,2018,2018,2018,356,GARAK,"(doesn't move to help him) Face it, Doctor, there's no way to repair the damage. It's too extensive.",56   INT. OPS,OPS,INT.,Distant Voices,1995-01-11,Deep Space Nine,464.txt,0.0
