Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,line,character,quote,scene,location,view,episode,date,series,file,sentiment
64000,64000,64000,64000,62,O'BRIEN,Keiko... (doesn't know what to say) I'm... so glad to see you.,4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.5949
64001,64001,64001,64001,63,KEIKO,"I'm glad to see you, too. I've just had the worst trip.",4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64002,64002,64002,64002,64,O'BRIEN,"Oh... I'm sorry to hear that. But now that you're here, everything's going to be great.",4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64003,64003,64003,64003,65,MOLLY,Hi.,4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64004,64004,64004,64004,66,O'BRIEN,"Hello, sweetie. You ready to have a good time with Daddy?",4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64005,64005,64005,64005,67,MOLLY,No.,4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64006,64006,64006,64006,68,O'BRIEN,Why not?,4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64007,64007,64007,64007,69,MOLLY,I don't feel so good.,4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64008,64008,64008,64008,70,O'BRIEN,Tell Daddy what's wrong.,4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64009,64009,64009,64009,71,LWAXANA ,"Oh, you poor dear.",4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64010,64010,64010,64010,72,LWAXANA,I never should've given you all that candy.,4    INT. DOCKING RING CORRIDOR,DOCKING RING CORRIDOR,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64011,64011,64011,64011,73,ODO,"I usually make it a point to stop by Quark's three or four times a day at random intervals... just to let him know that I'm thinking about him. But seeing that today's a holiday, and he'll be busier than usual... I suggest you station a man there full time.",11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64012,64012,64012,64012,74,ODO,"I think that about covers it. If you need me, I'll be on the Promenade...",11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64013,64013,64013,64013,75,LWAXANA ,But don't call unless it's an emergency.,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64014,64014,64014,64014,76,LWAXANA,The constable will be... occupied.,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64015,64015,64015,64015,77,ODO,Madame Ambassador...,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64016,64016,64016,64016,78,LWAXANA,Do we have to be so formal?,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64017,64017,64017,64017,79,LWAXANA,Didn't they teach you any manners at Starfleet Academy?,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64018,64018,64018,64018,80,ODO,Come back in five minutes.,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64019,64019,64019,64019,81,LWAXANA,Make that half an hour.,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64020,64020,64020,64020,82,ODO,So... what brings you to the station.,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64021,64021,64021,64021,83,LWAXANA,"Officially I'm here as the Betazoid representative to the Gratitude Festival. But the truth is, I came to see you. You poor sweet tortured man.",11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64022,64022,64022,64022,84,ODO,Excuse me?,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64023,64023,64023,64023,85,LWAXANA,I know the torment you must be going through.,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64024,64024,64024,64024,86,LWAXANA,To spend your whole life searching for your people only to discover that they're the leaders of that awful Dominion.,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64025,64025,64025,64025,87,ODO,You heard about that?,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64026,64026,64026,64026,88,LWAXANA,"When you travel as much as I do, you make friends everywhere. I like to think of Admiral Necheyev as the sister I never had. Don't worry, Odo. I'm here to help you.",11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64027,64027,64027,64027,89,ODO,What kind of help do you mean?,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64028,64028,64028,64028,90,LWAXANA,A sympathetic ear. A shoulder to cry on. A lap to melt in.,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64029,64029,64029,64029,91,ODO,"That's very considerate of you, but unnecessary. My people are who they are, and I am who I am... And I've learned to accept that.",11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64030,64030,64030,64030,92,LWAXANA,You brave soul. Why don't we go someplace quiet so you can tell me all about it?,11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64031,64031,64031,64031,93,ODO,"Actually, I was planning to go to the opening of the Gratitude Festival this afternoon.",11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64032,64032,64032,64032,94,LWAXANA,"Even better. First, a little fun and relaxation, and then we can delve into the depths of your pain. I'll freshen up, then I'll meet you outside the Bajoran Temple for the Presider's opening address.",11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64033,64033,64033,64033,95,LWAXANA,"I promise you, Odo, it's going to be all right. You're not alone anymore.",11   INT. SECURITY OFFICE,SECURITY OFFICE,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64034,64034,64034,64034,96,LWAXANA,"Level Twenty-three, Section Eight.",13   INT. TURBOLIFT,TURBOLIFT,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64035,64035,64035,64035,97,KIRA,We need to see each other more often.,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64036,64036,64036,64036,98,BAREIL,I know. I wish we both weren't so busy. I never expected Kai Winn to make me one of her principal advisors.,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64037,64037,64037,64037,99,KIRA,I think she just asks your advice so she can do the opposite of whatever you recommend.,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64038,64038,64038,64038,100,BAREIL,"I know you don't like Winn, Nerys... but the office has changed her. The Prophets chose well.",14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64039,64039,64039,64039,101,BAREIL,So why not leave spiritual matters in their capable hands and concentrate on enjoying ourselves?,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64040,64040,64040,64040,102,KIRA,I have to go.,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64041,64041,64041,64041,103,BAREIL,But the festival won't be starting for another hour.,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64042,64042,64042,64042,104,KIRA,I have to set up the Renewal scrolls along the Promenade. It won't take long. Jadzia's promised to help.,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64043,64043,64043,64043,105,BAREIL,"Of course... Jadzia. You know, I've never understood how the two of you could be such good friends. She's... so unpredictable and you're so...",14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64044,64044,64044,64044,106,KIRA,Predictable?,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64045,64045,64045,64045,107,BAREIL,I didn't mean it like that. It's just that she gets to spend so much more time with you than I do.,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64046,64046,64046,64046,108,KIRA,Jadzia and I have done this for the past two years. It's becoming kind of a tradition.,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64047,64047,64047,64047,109,BAREIL,I was hoping we could start some traditions of our own...,14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64048,64048,64048,64048,110,KIRA,"And we will... (she kisses him, then breaks away) Later tonight.",14   INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64049,64049,64049,64049,111,O'BRIEN,She asleep?,15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64050,64050,64050,64050,112,KEIKO,It looks like the medicine Doctor Bashir prescribed is working...,15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64051,64051,64051,64051,113,O'BRIEN,That's a relief.,15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64052,64052,64052,64052,114,O'BRIEN,"Rough trip, huh?",15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64053,64053,64053,64053,115,KEIKO,It was a disaster.,15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64054,64054,64054,64054,116,O'BRIEN,I'm glad you're home.,15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64055,64055,64055,64055,117,KEIKO,"Me, too.",15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64056,64056,64056,64056,118,O'BRIEN,We should get ready for the festival. The babysitter will be here any minute.,15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64057,64057,64057,64057,119,KEIKO,The festival.,15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64058,64058,64058,64058,120,O'BRIEN,"On the other hand, we could spend the day locked away in our quarters.",15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
64059,64059,64059,64059,121,KEIKO,What I really want to do is sleep.,15   INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,Fascination,1994-10-10,Deep Space Nine,456.txt,0.0
