Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,line,character,quote,scene,location,view,episode,date,series,file,sentiment
25000,25000,25000,25000,98,O'BRIEN,Let birds go further loose maybe. Shout easy play.,15A  INT. OPS - CLOSE ON O'BRIEN,OP,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25001,25001,25001,25001,99,KIRA,"Chief, you're not making any sense.",15A  INT. OPS - CLOSE ON O'BRIEN,OP,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25002,25002,25002,25002,100,O'BRIEN,Round the turbulent quick.,15A  INT. OPS - CLOSE ON O'BRIEN,OP,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25003,25003,25003,25003,101,O'BRIEN,Close the reverse harbor.,15A  INT. OPS - CLOSE ON O'BRIEN,OP,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25004,25004,25004,25004,102,O'BRIEN,Ankle try sound reset gleaming?,15A  INT. OPS - CLOSE ON O'BRIEN,OP,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25005,25005,25005,25005,103,O'BRIEN,Dinner to bug. When.,15A  INT. OPS - CLOSE ON O'BRIEN,OP,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25006,25006,25006,25006,104,KIRA,Chief... wait...,15A  INT. OPS - CLOSE ON O'BRIEN,OP,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25007,25007,25007,25007,105,BASHIR,Computer continue neural imaging scan. Stimulate visual cortex.,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25008,25008,25008,25008,106,COMPUTER,All visual responses normal.,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25009,25009,25009,25009,107,BASHIR,Computer begin auditory stimuli.,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25010,25010,25010,25010,108,COMPUTER,No physiological damage. All brain functions within normal parameters.,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25011,25011,25011,25011,109,BASHIR,"Nurse, pull up Mister O'Brien's neuro- physiological history.",17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25012,25012,25012,25012,110,NURSE JABARA,"Yes, Doctor.",17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25013,25013,25013,25013,111,KIRA,What is it? What's he writing?,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25014,25014,25014,25014,112,O'BRIEN,Flame the dark true salt.,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25015,25015,25015,25015,113,BASHIR,"Please, Chief, have a seat.",17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25016,25016,25016,25016,114,O'BRIEN,Way link complete. Way link.,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25017,25017,25017,25017,115,KIRA,What's wrong with him?,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25018,25018,25018,25018,116,BASHIR,He appears to be suffering from a form of aphasia. It's a perceptual dysfunction in which aural and visual stimuli are incorrectly processed by the brain. His actual thinking hasn't been affected. But he's incapable of expressing himself or understanding others.,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25019,25019,25019,25019,117,O'BRIEN,Strike limits victory frosted wake. Simple hesitation.,17   INT. INFIRMARY,INFIRMARY,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25020,25020,25020,25020,118,SISKO,"I'm not sure I follow you, Doctor. You say Mister O'Brien is aphasic, but all of his tests come up negative.",21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25021,25021,25021,25021,119,DAX,Isn't aphasia typically associated with some kind of cranial trauma?,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25022,25022,25022,25022,120,BASHIR,Yes. It can occur as a result of a stroke or blow to the head. But there's no evidence of that here.,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25023,25023,25023,25023,121,DAX,Have you checked the medical library for precedents?,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25024,25024,25024,25024,122,BASHIR,And re-checked. Nothing so far.,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25025,25025,25025,25025,123,SISKO,Have you any theories?,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25026,25026,25026,25026,124,BASHIR,Not yet.,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25027,25027,25027,25027,125,SISKO,"Find one. Major, get hold of the Chief's personal duty log.",21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25028,25028,25028,25028,126,SISKO,I want to know where he's been and what he's done for the past fifty- two hours.,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25029,25029,25029,25029,127,KIRA,"I've already examine it, Commander. He's been all over this station.",21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25030,25030,25030,25030,128,SISKO,"Retrace his steps. See what you come up with. Dax, you will temporarily assume Mister O'Brien's duties.",21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25031,25031,25031,25031,129,DAX,Yes... I'll...,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25032,25032,25032,25032,130,SISKO,"Is there a problem, Lieutenant?",21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25033,25033,25033,25033,131,SISKO,Lieutenant.,21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25034,25034,25034,25034,132,DAX,"I'm sorry, Benjamin, but... I'm unable to... foolish assembled regal... control weather.",21   INT. OPS,OPS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25035,25035,25035,25035,133,BASHIR,"Commander, spontaneous development of aphasia is virtually impossible. But we saw Lieutenant Dax become aphasic before our eyes. That told me we were dealing with a disease that only mimics aphasia. So I ran a full neuro-synaptic comparison of Dax and O'Brien. And found this in the temporal lobes of both patients.",23   INT. INFIRMARY - DAY TWO,INFIRMAR,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25036,25036,25036,25036,134,SISKO,A virus?,23   INT. INFIRMARY - DAY TWO,INFIRMAR,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25037,25037,25037,25037,135,BASHIR,"It imposes itself within established synaptic pathways and then randomly reroutes them. For example, when I look at this... ... a process occurs in my brain which connects this stimulus to the word ""tricorder."" The virus disrupts that process.",23   INT. INFIRMARY - DAY TWO,INFIRMAR,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25038,25038,25038,25038,136,SISKO,I'd see the tricorder but I would say something ridiculous like... window.,23   INT. INFIRMARY - DAY TWO,INFIRMAR,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25039,25039,25039,25039,137,BASHIR,Exactly.,23   INT. INFIRMARY - DAY TWO,INFIRMAR,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25040,25040,25040,25040,138,NURSE JABARA,"Doctor, I think you better get over here.",23   INT. INFIRMARY - DAY TWO,INFIRMAR,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25041,25041,25041,25041,139,SISKO,"Doctor, I want this station put under emergency quarantine immediately.",23   INT. INFIRMARY - DAY TWO,INFIRMAR,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25042,25042,25042,25042,140,ODO,"Quark, what is going on here?",26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25043,25043,25043,25043,141,QUARK,What's it look like?,26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25044,25044,25044,25044,142,ODO,"It looks like business as usual. But that's impossible, because all shops and business have been closed until further notice.",26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25045,25045,25045,25045,143,QUARK,"Except, of course, for essential station operations.",26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25046,25046,25046,25046,144,ODO,For which this place hardly qualifies.,26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25047,25047,25047,25047,145,QUARK,"I don't think they would agree. This quarantine has everyone on edge, Constable. Would you deprive them of a little harmless diversion?",26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25048,25048,25048,25048,146,ODO,They'd be safer in their quarters.,26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25049,25049,25049,25049,147,ASOTH,"Quark, that Kohlanese stew... magnificent.",26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.5994
25050,25050,25050,25050,148,QUARK,"Fortunately my assistant, Rom, was able to fix the replicators.",26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25051,25051,25051,25051,149,ODO,"Yes, very fortunate.",26   INT. QUARKS,QUARKS,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.7089
25052,25052,25052,25052,150,SISKO ,Jake!,27   INT. PROMENADE SECOND LEVEL,PROMENADE SECOND LEVEL,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25053,25053,25053,25053,151,SISKO,I expected you home an hour ago.,27   INT. PROMENADE SECOND LEVEL,PROMENADE SECOND LEVEL,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25054,25054,25054,25054,152,JAKE,Sorry. I was over at Nog's.,27   INT. PROMENADE SECOND LEVEL,PROMENADE SECOND LEVEL,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25055,25055,25055,25055,153,JAKE,"Dad, about this quarantine, it's going to be okay, isn't it?",27   INT. PROMENADE SECOND LEVEL,PROMENADE SECOND LEVEL,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25056,25056,25056,25056,154,SISKO,It's just a precaution. Nothing more.,27   INT. PROMENADE SECOND LEVEL,PROMENADE SECOND LEVEL,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25057,25057,25057,25057,155,JAHEEL,I wish I shared your confidence Commander.,28   INT. PROMENADE - FIRST LEVEL - CONTINUOUS,PROMENAD,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25058,25058,25058,25058,156,SISKO,"Go on home, son. I'll see you at dinner.",28   INT. PROMENADE - FIRST LEVEL - CONTINUOUS,PROMENAD,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25059,25059,25059,25059,157,SISKO,"Captain Jaheel, all visitors have been confined to their ships.",28   INT. PROMENADE - FIRST LEVEL - CONTINUOUS,PROMENAD,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
25060,25060,25060,25060,158,JAHEEL,"Believe me, there is no place I'd rather be.",28   INT. PROMENADE - FIRST LEVEL - CONTINUOUS,PROMENAD,INT.,Babel,1992-10-07,Deep Space Nine,405.txt,0.0
