Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,line,character,quote,scene,location,view,episode,date,series,file,sentiment
144000,144000,144000,144000,150,RIKER,"I'm starting to remember certain things, but... Why am I here?",23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144001,144001,144001,144001,151,ATTENDANT,I remember when they brought you in. You were screaming... struggling...,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144002,144002,144002,144002,152,ATTENDANT,"We could barely hold you down. In fact, just getting the blood off your hands took over an hour.",23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144003,144003,144003,144003,153,RIKER,Blood?,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144004,144004,144004,144004,154,ATTENDANT,On your hands... your clothes... You didn't just kill that man... you mutilated him.,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.5773
144005,144005,144005,144005,155,RIKER,What are you talking about? I didn't kill anybody.,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144006,144006,144006,144006,156,ATTENDANT,I'm afraid you did. You stabbed him. They found you near the body... with the knife in your hand...,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144007,144007,144007,144007,157,RIKER,No. It's not true...,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,-0.296
144008,144008,144008,144008,158,ATTENDANT,"Yes it is. And if you get out of here, you're going to stand trial...",23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.4019
144009,144009,144009,144009,159,RIKER,You're lying!,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,-0.5707
144010,144010,144010,144010,160,ATTENDANT,I imagine the punishment will be quite severe... considering you stabbed him nine times --,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144011,144011,144011,144011,161,RIKER,NO!,23   INT. ASYLUM - COMMON AREA,ASYLU,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144012,144012,144012,144012,162,RIKER,"I was there... in Ward Forty-seven, just like in the play. Everyone thought I was insane... that I'd killed somebody... Except it was all real.",27   INT. RIKER'S QUARTERS,RIKER'S QUARTERS,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144013,144013,144013,144013,163,BEVERLY,Deanna mentioned you went to bed early because you felt a little anxious about the play. But I had no idea...,27   INT. RIKER'S QUARTERS,RIKER'S QUARTERS,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144014,144014,144014,144014,164,BEVERLY,You said that in your dream we performed the play... How'd it go?,27   INT. RIKER'S QUARTERS,RIKER'S QUARTERS,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144015,144015,144015,144015,165,RIKER,It was a smash. We got a standing ovation.,27   INT. RIKER'S QUARTERS,RIKER'S QUARTERS,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144016,144016,144016,144016,166,BEVERLY,Let's hope it goes that well tonight.,27   INT. RIKER'S QUARTERS,RIKER'S QUARTERS,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144017,144017,144017,144017,167,BEVERLY,We've got one hour to curtain. How do you feel?,27   INT. RIKER'S QUARTERS,RIKER'S QUARTERS,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144018,144018,144018,144018,168,RIKER,I feel... like an actor.,27   INT. RIKER'S QUARTERS,RIKER'S QUARTERS,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144019,144019,144019,144019,169,BEVERLY,You're certainly starting to look the part.,27   INT. RIKER'S QUARTERS,RIKER'S QUARTERS,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144020,144020,144020,144020,170,DATA/DOCTOR,Perhaps we should continue this discussion next week...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144021,144021,144021,144021,171,RIKER,No. I want to talk about it now...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144022,144022,144022,144022,172,DATA/DOCTOR,You're starting to sound angry again. Maybe you need another treatment...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144023,144023,144023,144023,173,RIKER,What I need is to get out of this cell. I'm locked up day and night... you control my every move...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144024,144024,144024,144024,174,RIKER,You tell me what to eat... what to think... what to say...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144025,144025,144025,144025,175,BEVERLY,"""And when I show a glimmer of independent thought... """,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144026,144026,144026,144026,176,RIKER,"And when I show a glimmer of independent thought, you strap me down, inject me with drugs and call it a ""treatment.""",28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144027,144027,144027,144027,177,DATA/DOCTOR,You're becoming agitated...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144028,144028,144028,144028,178,RIKER,"You bet I'm agitated! I may be surrounded by insanity, but I'm not insane. And I won't let you or anyone else tell me...",28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144029,144029,144029,144029,179,RIKER,What's happening...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144030,144030,144030,144030,180,DATA/DOCTOR,I can see we have a lot of work to do.,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144031,144031,144031,144031,181,RIKER,"No matter what you do, you can't change the fact that I'm innocent...",28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144032,144032,144032,144032,182,RIKER,"You're the key to all this, aren't you? Who are you?",28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144033,144033,144033,144033,183,RIKER,Who are you?,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144034,144034,144034,144034,184,LIEUTENANT,"Lieutenant Suna, sir...",28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144035,144035,144035,144035,185,BEVERLY,Wil... are you alright?,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144036,144036,144036,144036,186,RIKER,No... I don't know...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144037,144037,144037,144037,187,BEVERLY,Why don't we go down to Sickbay...,28   INT. ASYLUM CELL/THEATER,ASYLUM CELL/THEATER,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144038,144038,144038,144038,188,BEVERLY,There's nothing wrong with you neurologically. I don't see anything that could've caused your hallucinations. But your heart rate is up... blood pressure's way above normal. You're physically exhausted.,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144039,144039,144039,144039,189,RIKER,This is more than just fatigue...,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144040,144040,144040,144040,190,BEVERLY,It's possible under conditions of extreme stress for the mind to manufacture all kinds of things.,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144041,144041,144041,144041,191,RIKER,Drugs. They injected me with me drugs... Are there drugs in my system?,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144042,144042,144042,144042,192,BEVERLY,Nothing.,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144043,144043,144043,144043,193,RIKER,It's that dream... they gave me drugs in the dream...,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144044,144044,144044,144044,194,RIKER,Did anybody in the theater see anything strange happen during the performance?,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,-0.2023
144045,144045,144045,144045,195,BEVERLY,No... nobody.,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144046,144046,144046,144046,196,BEVERLY,"Get some rest, Wil. The play is over. Don't give it another thought.",35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144047,144047,144047,144047,197,RIKER,Thanks...,35   INT. SICKBAY,SICKBAY,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144048,144048,144048,144048,198,RIKER,How's Lieutenant Suna?,35A  INT. CORRIDOR,CORRIDOR,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144049,144049,144049,144049,199,TROI,A little shaken... but alright.,35A  INT. CORRIDOR,CORRIDOR,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
144050,144050,144050,144050,200,RIKER,I feel like such an idiot.,35A  INT. CORRIDOR,CORRIDOR,INT.,Frame of Mind,1993-02-16,The Next Generation,247.txt,0.0
