,indices,quote,query,bm25,prevbm25,nextbm25,ranking
0,87641,"RIKER: Yes, go ahead. RIKER: Enterprise?... Enterprise?... RIKER: ... Enterprise...",enterprise,8.32000668986447,0.0,7.374085106071976,-1
1,118893,"RIKER: Proceed, Shuttle One. PICARD: Enterprise. Enterprise. Do you read me? Enterprise, come in. DATA: I cannot locate the Enterprise anywhere within one lightyear of the planet.",enterprise,7.830813309836274,0.0,4.146091114464119,-1
2,115264,"TAM: I can't. DATA: Data to Enterprise. Come in Enterprise. TAM: No... No, don't.",enterprise,7.4968231383513615,0.0,0.0,-1
3,102020,"RIKER: I think we'll be safe in here. I'm not sure about our air supply. Stay put and don't move around, don't expend unnecessary energy. With any luck we can wait this out. RIKER: Riker to Enterprise... Riker to Enterprise... DATA: Commander, the refractory metals in the rock strata might also interfere with communication.",enterprise,7.405238617268715,0.0,0.0,-1
4,97369,RIKER: Riker to Enterprise. We're going in. RIKER: Riker to Enterprise... Riker to Enterprise... SOREN: Power reserves are down to eighty-four percent.,enterprise,7.405238617268715,5.707667608461899,0.0,-1
5,134022,RIKER: Energize. RIKER: Enterprise. PICARD: Number One.,enterprise,7.374085106071976,0.0,0.0,-1
6,130174,"PICARD: Hold on. We'll get you out of here. (he touches his communicator) Enterprise, this is the Captain. Two to beam up. PICARD: Enterprise. PICARD: (continuing; he touches it again) Data... Lieutenant Yar.",enterprise,7.374085106071976,3.382592548319905,0.0,-1
7,109348,RIKER: Maybe we'll find out what the hell they really want. GREBNEDLOG: Enterprise. RIKER: We demand the immediate return of our crewmember.,enterprise,7.374085106071976,0.0,0.0,-1
8,88874,"RO: I think I can... I followed their entry almost all the way in... we can calculate the coordinates from their angle of descent... RIKER: Enterprise? DATA: It is unlikely, sir, that we will be able to establish communication with the ship, given the severe electromagnetic interference...",enterprise,7.374085106071976,0.0,0.0,-1
9,88860,"DATA: Sir, forward thrusters have failed. We are losing power. RIKER: Enterprise... ? PICARD: Go ahead.",enterprise,7.374085106071976,0.0,0.0,-1
10,87642,"RIKER: Enterprise?... Enterprise?... RIKER: ... Enterprise... PICARD: Why haven't you left the building, Number One?",enterprise,7.374085106071976,8.32000668986447,0.0,-1
11,79459,"RIKER: Enterprise, Riker. Come in. ZORN: Enterprise, Enterprise, help us! Come in, please... ZORN: ... what shall we do? Help us, please.",enterprise,7.18577700872932,6.300963579513951,0.0,-1
12,139059,"RIKER: In my opinion, the Romulans want a confrontation... specifically against us. PICARD: The Enterprise? RIKER: Not by name; but yes, against us. They know the Federation will send their best -- this will be a perfect chance for them to learn firsthand, how much we have advanced in both technology, and technique.",enterprise,7.031910911953916,0.0,0.0,-1
13,138891,PICARD: The strategic decision is to send one ship. RIKER: The Enterprise. PICARD: Yes.,enterprise,7.031910911953916,0.0,0.0,-1
14,129412,"VEKOR: It was sent approximately fifteen minutes ago. He's at the rendezvous coordinates... but he's been detained by the Enterprise. That's all there is... he stopped transmitting. BARAN: The Enterprise... PICARD: How could they have found out about the rendezvous, Commander?",enterprise,7.031910911953916,2.5554924970361927,0.0,-1
15,128044,RIKER: We're from the Federation Starship Enterprise. We received your distress call. MIROK: The Enterprise... ? RIKER: That's right. Your message said you'd suffered a failure in your engine core.,enterprise,7.031910911953916,4.090139488333297,0.0,-1
16,118608,GUINAN: I've certainly done my share of travelling. What ship? DATA: The Enterprise. GUINAN: Is that a clipper ship?,enterprise,7.031910911953916,0.0,0.0,-1
17,85874,PICARD: Do you know where you are? P2: The Enterprise. PICARD: But you're only vaguely aware of it. And me -- do you know who I am?,enterprise,7.031910911953916,0.0,0.0,-1
18,12040,"DAX: That's... SISKO: The Enterprise DULMUR: Be specific, Captain. Which Enterprise? There've been five.",enterprise,7.031910911953916,0.0,4.765384017263812,-1
19,139813,"RIKER: Riker to Enterprise. GEORDI: Enterprise, here. RIKER: We're ready to beam up.",enterprise,6.951272231370145,6.646400906115534,0.0,-1
20,131211,"DATA: Captain, I have no reports of any Federation ships in that area. RIKER: Ferengi? PICARD: It's a little out of their area.",ferengi,9.02818540172776,0.0,0.0,-1
21,67593,"QUARK: We'll take him with us. He'll be our gift to Starfleet. They gave us a Vorta, we'll give them one back. YELGRUN: Ferengi... QUARK: I know, I know -- you hate us.",ferengi,9.02818540172776,0.0,0.0,-1
22,62522,"GENERAL DENNING: You know, Quark, you might be some kind of Martian... QUARK: Ferengi. GENERAL DENNING: Whatever. But the more we talk, the more you remind me of my brother-in-law.",ferengi,9.02818540172776,0.0,0.0,-1
23,67532,"QUARK: It always comes down to profit with you people, doesn't it? GAILA: We're Ferengi. QUARK: And that's why I love you. Fifty bars it is. Minus my usual finder's fee.",ferengi,8.392417867208911,0.0,0.0,-1
24,67517,ROM: Look out! KEEVAN: I hate Ferengi ROM: What are we going to do? We can't have a prisoner exchange without a prisoner.,ferengi,8.295061083990827,0.0,0.0,-1
25,40911,"QUARK: Don't be ridiculous... You expect me to believe you've come all this way, braved the storm, just to tell me the deal is off? YETO: Stupid Ferengi. T'KAR: I said no one moves.",ferengi,8.295061083990827,0.0,0.0,-1
26,14342,"GRILKA: You mean... D'Ghor has been... scheming and ... plotting like a... QUARK: Like a Ferengi. GRILKA: There is no honor in what he has done. If he wanted to challenge my House, he should've made a declaration... met our forces in battle...",ferengi,8.295061083990827,0.0,0.0,-1
27,108607,"GEORDI: This is Shuttle nine... reporting back... barely. PICARD: The Ferengi pod? GEORDI: They're trapped on the other side, sir. In the Delta Quadrant. We tried to warn them. They wouldn't follow us.",ferengi,8.199937185302392,0.0,0.0,-1
28,108497,"GEORDI: I can see it now... and I'm telling you that you don't have time to wait... not even forty seconds... ARRIDOR: Ferengi pod, out. GEORDI: Dammit, Arridor, we're seventy thousand light years away from our ships... follow us... we'll lead you in...",ferengi,8.199937185302392,0.0,0.0,-1
29,83490,"MORDOC: Inviting others to unclothe them... the very depth of perversion... TASHA: Paws off, Ferengi. MORDOC: No female, hu-man or Ferengi, can order Mordoc around! Submit!",ferengi,8.106970225017667,0.0,5.491872829589185,-1
